Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,samp_collect_device,Sample Name,SRA Study,Depth_m,replicate,size_fraction,CH4_uM,H2S_Um,oxygen,Oxygen_uM,Particulate_Sulfur_uM,salinity,Temperature_degree_C,TZVS_uM
SRR8062317,WGS,300,24755378774,PRJNA326482,SAMN10231922,Metagenome or environmental,10746153176,STONY BROOK UNIVERSITY,Nov-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891830,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D2b247B,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D2b247B,SRP077602,247,b,0.2-2.7µm,,,,,,,,
SRR8062318,WGS,300,31362564674,PRJNA326482,SAMN10231923,Metagenome or environmental,13468664269,STONY BROOK UNIVERSITY,Nov-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891829,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D2a267B,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D2a267B,SRP077602,267,a,0.2-2.7µm,,,,,,,,
SRR8062319,WGS,300,38841078650,PRJNA326482,SAMN10231915,Metagenome or environmental,15681814627,STONY BROOK UNIVERSITY,Nov-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891828,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D2a143B,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D2a143B,SRP077602,143,a,0.2-2.7µm,,,,,,,,
SRR8062320,WGS,300,35633151333,PRJNA326482,SAMN10231914,Metagenome or environmental,15741144847,STONY BROOK UNIVERSITY,Nov-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891827,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D2b267A,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D2b267A,SRP077602,267,b,>2.7µm,,,,,,,,
SRR8062321,WGS,300,27051819516,PRJNA326482,SAMN10231913,Metagenome or environmental,11805039557,STONY BROOK UNIVERSITY,Nov-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891826,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D2a267A,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D2a267A,SRP077602,267,a,>2.7µm,,,,,,,,
SRR8062322,WGS,299,42653125433,PRJNA326482,SAMN10231912,Metagenome or environmental,18803090575,STONY BROOK UNIVERSITY,Nov-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891825,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D2b247A,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D2b247A,SRP077602,247,b,>2.7µm,,,,,,,,
SRR8062323,WGS,299,19617946693,PRJNA326482,SAMN10231911,Metagenome or environmental,8674845021,STONY BROOK UNIVERSITY,Nov-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891824,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D2a247A,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D2a247A,SRP077602,247,a,>2.7µm,,,,,,,,
SRR8062324,WGS,298,41776397518,PRJNA326482,SAMN10231910,Metagenome or environmental,18471843766,STONY BROOK UNIVERSITY,Nov-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891823,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D2b237A,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D2b237A,SRP077602,237,b,>2.7µm,,,,,,,,
SRR8062325,WGS,298,23480931948,PRJNA326482,SAMN10231909,Metagenome or environmental,10408723779,STONY BROOK UNIVERSITY,Nov-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891822,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D2a237A,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D2a237A,SRP077602,237,a,>2.7µm,,,,,,,,
SRR8062326,WGS,299,25925575985,PRJNA326482,SAMN10231908,Metagenome or environmental,11441975122,STONY BROOK UNIVERSITY,Nov-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4891821,Venezuela,South America,Venezuela: Cariaco Basin,Illumina HiSeq 2500,seawater,10.617 N 65.167 W,D2b200A,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2019-11-01T00:00:00Z,Niskin bottle,D2b200A,SRP077602,200,b,>2.7µm,,,,,,,,
