	SRR3735256	SRR3735257	SRR3735258	SRR3735259	SRR3735260	SRR3735261	SRR3735262	SRR3735263	SRR3735264	SRR3735265	SRR3735266	SRR3735268	SRR3735269	SRR3735270	SRR3735271	SRR3735272	SRR3735273	SRR3735274	SRR3735275	SRR3735276	SRR3735277	SRR3735278	SRR3735279	SRR3735280	SRR3735281	SRR3735283	SRR3735284	SRR3735285	SRR3735286	SRR3735287	SRR3735288	SRR3735289	SRR3735290	SRR3735292	SRR3735293	SRR3735294	SRR3735295	SRR3735296	SRR3735297	SRR3735298	SRR3735299	SRR3735300	SRR3735301	SRR3735302	SRR3735303	SRR3735304	SRR3735305
ASV_1	242	18	8	0	6	0	0	0	0	82	6832	0	0	8986	2736	6	18	20	0	0	4472	816	98762	282	81270	2954	78	0	22	0	30	0	18	40	190	46	106	2792	0	0	2	8	81958	75926	1214	4	3908
ASV_2	0	0	10180	0	14	0	10	2	20	9462	17638	44838	0	75970	11192	7620	0	6	0	2	0	0	746	12	0	3284	6116	468	24	10	0	0	0	4	0	4	63086	3506	2	15708	4	15162	1312	152	4342	0	632
ASV_3	3992	2408	7360	930	2638	3790	8952	2180	8056	416	19094	2074	2284	6198	17336	2886	68	948	0	746	4710	3902	1546	2546	668	2688	13994	1030	134	13984	296	0	4000	22166	2838	14002	8416	4642	0	4768	22	46626	4700	12188	2020	0	1718
ASV_4	744	260	4	12	168	11892	13098	46748	31900	0	156	0	10652	0	0	0	0	8	0	14	4	0	0	55494	0	0	0	10	0	50	0	0	0	54	89962	18	0	0	0	0	0	266	134	136	88	8	20
ASV_5	16	0	0	2	26	94	118	1668	762	0	3464	0	0	284	0	0	0	0	0	0	5390	3906	196	272	166	104	76	0	0	96	0	6	36	195502	68	34862	332	260	0	284	6	174	868	726	10	0	0
ASV_6	5010	932	140636	0	0	368	10	56	0	6	144	18	310	664	0	2	0	0	0	0	0	0	50	5798	0	98	428	20	12	0	0	0	0	0	2758	0	0	2	0	0	0	6	4498	1074	4104	2	39200
ASV_7	0	0	0	0	0	0	0	0	0	16	1996	0	0	540	0	0	0	0	0	0	48	38	9244	0	7824	362	0	0	8	0	0	0	0	0	0	0	16	134	0	0	0	0	77266	96802	28	0	172
ASV_8	3482	290	2	0	12	236	30	18	0	0	1822	0	212	622	604	0	20	398	0	90	9112	3220	17976	4004	9998	480	470	48	52	230	6	0	0	16	1962	14	28	36	0	0	0	402	64110	69608	580	0	984
ASV_9	3132	4548	0	22934	6144	2058	1026	1200	354	0	0	0	21426	2	0	0	13116	4972	0	8452	558	396	0	1192	44	0	128	0	10	36340	22602	0	494	124	4974	720	628	104	2	68	0	2574	32	202	46	0	144
ASV_10	594	348	6	176	164	1610	516	1184	206	30	256	154	3730	4	0	0	7412	5102	0	54082	1758	786	178	1588	110	408	3434	118	86	14696	276	0	374	290	3632	578	1900	1112	0	4650	4	41154	258	690	162	0	98
ASV_11	3644	4136	2	21492	6222	2116	912	918	232	0	0	0	21508	0	0	0	11960	5936	0	7508	642	524	34	1372	66	10	72	0	0	30878	18646	0	388	142	4542	714	634	122	0	194	0	2146	70	60	0	0	150
ASV_12	476	478	9818	152	238	218	1822	3512	3900	866	12652	4312	616	17552	23662	14178	0	46	0	10	22	26	82	376	46	234	1074	290	44	340	42	0	36	64	528	178	2878	190	0	416	0	22154	1596	3310	3604	0	5672
ASV_13	109628	8618	0	56	4032	26	172	86	20	0	54	64	36	60	0	0	0	10	0	0	138	86	86	6966	28	120	840	0	0	10	0	0	6	0	136	0	0	0	0	0	0	0	686	156	258	0	318
ASV_14	20	0	0	0	0	0	0	0	0	0	68	0	0	48	0	0	0	0	0	2	18	24	22618	22	11448	860	90	0	0	0	0	0	0	0	0	2	24	28	0	0	0	2	83280	2078	4	0	0
ASV_15	912	114	0	610	2080	18	0	132	60	0	29386	0	0	0	0	0	0	0	0	0	402	366	552	14	514	6	12	0	0	14	0	0	6	8522	0	1908	22	56970	0	90	0	0	1478	1200	0	0	0
ASV_16	0	0	0	0	0	72	42	500	238	0	17170	0	8	0	0	0	0	2	0	0	1592	1330	2538	40	2692	60	0	0	0	92	6	0	74	8202	28	8726	8	48628	0	0	0	140	826	2524	0	0	0
ASV_17	1700	1862	0	12564	2906	1680	622	634	100	0	0	0	11778	0	0	0	6340	2970	0	4298	344	194	28	594	0	6	66	6	6	19706	11120	0	244	46	2262	388	628	48	0	158	0	604	6	2	0	0	0
ASV_18	954	104	22104	0	16	18	78	54	4	26	1532	110	64	6918	4574	710	0	6	0	10	76	14	12	158	0	48	96	188	0	0	0	0	0	6	24	0	0	4	0	18	0	308	330	158	586	0	40932
ASV_19	3822	3024	0	10684	5024	1370	1042	794	156	0	0	0	10260	6	0	0	6366	5782	0	3272	760	422	20	1526	52	24	124	0	8	11190	8034	0	308	96	4262	258	72	12	0	4	0	774	48	0	26	0	30
ASV_20	2220	2348	12	10684	3372	1512	570	764	96	0	22	0	11042	136	0	0	6120	3410	0	3818	424	246	12	730	12	0	116	12	0	14656	9262	0	214	72	2696	252	46	12	0	0	0	3184	12	28	0	0	58
ASV_21	4630	960	0	3700	9362	12766	13024	11294	3496	0	0	0	436	0	0	0	4	236	0	68	22	0	2	600	8	14	0	0	0	10074	376	0	2488	104	230	24	2	14	0	0	0	3952	40	20	0	0	0
ASV_22	54488	13868	0	300	7858	8	138	56	0	0	0	0	6	0	38	0	22	272	0	0	0	0	0	40	0	0	6	0	0	6	10	0	2	0	0	0	0	0	0	0	0	0	76	0	200	0	96
ASV_23	68	108	2254	0	0	392	62	188	110	6	704	22	68	1308	1366	78	6	0	0	0	0	0	264	4802	0	1406	452	10	0	0	0	0	0	0	5328	0	94	62	0	230	0	6	13836	13618	456	0	20420
ASV_24	2866	2190	0	8810	3626	1236	526	1080	144	0	0	0	8200	0	0	0	5206	4680	0	2548	538	362	16	1110	66	38	142	0	0	8316	5920	0	182	22	3324	152	122	12	0	0	0	16	0	58	14	0	34
ASV_25	510	54	0	0	0	160	4	42	18	0	46	0	102	0	0	0	20	128	0	0	23170	12590	5982	1682	4570	338	56	0	0	86	0	0	0	56	644	18	0	14	0	0	0	586	6784	3200	114	0	0
ASV_26	3368	2124	0	7316	3758	1338	868	1654	160	0	0	0	7658	242	0	0	4612	5228	0	2274	570	356	26	1180	22	4	38	0	4	6996	5118	0	352	100	3532	328	26	98	0	240	0	340	26	36	30	0	74
ASV_27	610	38	0	0	16	26	14	32	30	0	0	0	10	0	0	0	6	0	0	16	43466	12122	64	308	106	150	68	0	0	0	0	0	0	254	104	68	8	0	0	0	0	210	252	356	76	0	34
ASV_28	100	62	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	4	0	12	5792	2784	14654	200	10268	288	0	0	0	0	0	0	0	8	54	12	30	16	0	0	0	0	12964	8286	0	0	94
